year,adjective,gender
2016,sloshed,male
2016,young,male
2016,fellow,male
2016,principal,male
2016,little,male
2016,influential,male
2016,disgraced,male
2016,trainee,male
2016,bookie,male
2016,young,male
2016,abusive,male
2016,devastating,male
2016,loving,male
2016,innocent,male
2016,old,male
2016,senior,male
2016,actual,male
2016,old,male
2016,elderly,male
2016,reformed,male
1996,innocent,male
2016,newborn,male
2016,close,male
2016,mixed,male
2016,old,male
2016,superior,male
2016,current,male
2016,special,male
2016,assistant,male
2016,imposterly,male
2016,young,male
2016,indian,male
2016,happy,male
2016,happy,male
2016,annoyed,male
2016,poor,male
2016,old,male
2016,teenage,male
2016,giant,male
1997,indian,male
1997,shaken,male
1997,charismatic,male
1997,patriotic,male
2016,real,male
2016,senior,male
2016,unknown,male
2016,old,male
2016,ageing,male
2016,unborn,male
1997,distracting,male
1997,married,male
1997,reluctant,male
1997,new,male
1997,honest,male
1997,small,male
1997,powerful,male
1997,future,male
1997,enraged,male
1997,rival,male
1997,superior,male
1998,violent,male
1998,lookalike,male
1998,young,male
1998,late,male
1998,twin,male
1998,honest,male
1999,rogue,male
1999,peaceful,male
1999,upright,male
1999,obstinate,male
1999,neighboring,male
1999,muslim,male
1999,old,male
1999,young,male
1999,married,male
1999,loyal,male
1999,honest,male
1999,notorious,male
1999,wealthy,male
1999,young,male
1999,unemployed,male
1999,middle,male
2000,young,male
2000,weary,male
2000,young,male
2000,old,male
2015,stupid,male
2001,flattered,male
2001,happy,male
2015,protective,male
2015,young,male
2015,principal,male
2015,old,male
2002,young,male
2002,indian,male
2002,unable,male
2002,engagement,male
2002,humiliated,male
2003,carefree,male
2003,famous,male
2003,real,male
2003,wealthy,male
2003,fearful,male
2003,happy,male
2004,influential,male
2004,young,male
2004,rejuvenated,male
2004,handicapped,male
2004,little,male
2005,young,male
2005,indian,male
2005,confront,male
2005,adopted,male
2005,shocked,male
2005,powerful,male
2005,mere,male
2005,second,male
2005,indian,male
2005,retired,male
2005,fast,male
2006,good,male
2006,conservative,male
2006,assistant,male
2006,old,male
2006,angry,male
2006,associate,male
2006,creepy,male
2006,raj,male
2006,uncomfortable,male
2006,second,male
2006,wealthy,male
2006,married,male
2006,rich,male
2006,incapacitated,male
2006,adopted,male
2006,responsible,male
2007,indian,male
2007,previous,male
2007,indian,male
2007,assistant,male
2007,young,male
2007,straightforward,male
2007,young,male
2007,angry,male
2007,adult,male
2007,favorite,male
2007,unemployed,male
2007,dreaded,male
2007,bad,male
2007,beautiful,male
2007,young,male
2007,common,male
2007,kissing,male
2007,close,male
2008,rich,male
2008,reluctant,male
2008,reluctant,male
1971,widowed,male
