year,verb,gender
2010,believes,female
2010,loves,female
2010,lies,female
2010,finds,female
2010,catches,female
2010,asks,female
2010,begins,female
2010,arrives,female
2010,marries,female
2010,starts,female
2010,calls,female
2010,joins,female
2010,asks,female
2010,falls,female
2010,leaves,female
2010,overhears,female
2010,takes,female
2010,keeps,female
2010,takes,female
2010,loves,female
2010,rings,female
2010,visits,female
2010,realises,female
2010,confronts,female
2010,kidnaps,female
2010,goes,female
2010,supports,female
2010,wants,female
2009,kills,female
2009,dreams,female
2009,hears,female
2009,drops,female
2009,convinces,female
2009,meets,female
2009,pays,female
2009,finds,female
2009,meets,female
2009,focuses,female
2009,marries,female
2009,loves,female
2009,gets,female
2009,meets,female
2009,starts,female
2009,prevents,female
2009,comes,female
2009,arrives,female
2009,reveals,female
2009,beseeches,female
2009,pretends,female
2009,asks,female
2009,pays,female
2009,convinces,female
2009,runs,female
2009,wants,female
2009,gives,female
2009,goes,female
1986,introduces,female
1986,brings,female
1986,takes,female
1986,explains,female
1986,asks,female
1986,decides,female
1986,asks,female
1986,kills,female
1986,berates,female
1986,arrives,female
1986,runs,female
1970,befriends,female
1986,wants,female
1986,wants,female
1986,wants,female
1986,sends,female
1970,dies,female
1970,takes,female
1986,gives,female
1986,informs,female
1986,marries,female
1986,loves,female
1986,finds,female
1986,asks,female
1972,entrusts,female
1972,claims,female
1972,realizes,female
1972,agrees,female
1972,finds,female
1972,frequents,female
1972,catches,female
1972,witnesses,female
1972,meets,female
1972,dies,female
1972,lives,female
1972,gets,female
1972,meets,female
1972,falls,female
1972,meets,female
1972,dies,female
1972,meets,female
1972,starts,female
1972,saves,female
1972,kidnaps,female
1972,loves,female
1972,refuses,female
1973,accuses,female
1973,meets,female
1972,steals,female
1973,sees,female
1972,sends,female
1972,escapes,female
1994,relents,female
1994,takes,female
1994,calls,female
1994,marries,female
1994,pitches,female
1994,receives,female
1994,informs,female
1994,kills,female
1973,comes,female
1973,succumbs,female
1994,sees,female
1994,dies,female
1994,sees,female
1994,loses,female
1994,gives,female
1994,comes,female
1994,turns,female
1994,loves,female
1994,accepts,female
1994,takes,female
1994,tries,female
1994,accepts,female
1994,meets,female
1994,goes,female
1995,meets,female
1995,attempts,female
1995,approves,female
1995,notices,female
1995,calls,female
1995,loses,female
1995,opposes,female
1974,kills,female
1995,introduces,female
1995,accepts,female
1995,refuses,female
1995,meets,female
1995,comes,female
1995,marries,female
1995,grows,female
1974,proposes,female
1974,starts,female
1995,gets,female
1995,sees,female
1995,exploits,female
1995,moves,female
1995,arranges,female
1995,uses,female
1975,relishes,female
1975,asks,female
1975,agrees,female
2012,delivers,female
2012,marries,female
2012,travels,female
2012,goes,female
1976,marries,female
2012,dissuades,female
2012,meets,female
1976,discovers,female
1976,expires,female
1976,learns,female
1976,meets,female
1977,gets,female
2011,keeps,female
1977,drives,female
1977,gets,female
2010,meets,female
2010,refuses,female
2010,suspects,female
2010,jumps,female
2010,gets,female
2010,beats,female
2010,says,female
2010,forbids,female
1979,meets,female
1979,gets,female
2009,tells,female
2009,looks,female
2009,continues,female
2009,returns,female
2009,meets,female
2014,meets,female
2014,makes,female
