year,adjective,gender
2010,rich,female
2010,curious,female
2010,idiotic,female
2010,sensible,female
2010,teenage,female
2010,beautiful,female
2010,pakistani,female
2010,elderly,female
2010,young,female
2010,intelligent,female
2010,young,female
2010,religious,female
2009,international,female
2009,blonde,female
2009,pampered,female
2009,good,female
2009,nagging,female
2009,beautiful,female
2009,fellow,female
2009,sick,female
2009,orphan,female
2009,widowed,female
1986,real,female
1986,young,female
1986,poor,female
1986,feisty,female
1986,young,female
1986,pregnant,female
1986,old,female
1986,wealthy,female
1986,wealthy,female
1986,wealthy,female
1970,famous,female
1986,new,female
1986,dead,female
1986,good,female
1986,young,female
1972,poor,female
1972,sad,female
1972,blind,female
1972,wealthy,female
1972,widowed,female
1972,maidservant,female
1972,unmarried,female
1972,similar,female
1972,future,female
1972,sister,female
1972,real,female
1972,little,female
1972,dead,female
1972,beloved,female
1973,sweet,female
1972,real,female
1972,feisty,female
1972,surrogate,female
1973,challenged,female
1973,poor,female
1972,beautiful,female
1972,poor,female
1994,widowed,female
1994,rich,female
1994,unmarried,female
1973,indian,female
1994,wealthy,female
1994,real,female
1994,real,female
1994,traumatised,female
1994,beautiful,female
1973,widowed,female
1994,honest,female
1994,lonely,female
1994,widowed,female
1994,young,female
1994,kishans,female
1994,spoiled,female
1994,young,female
1994,simple,female
1974,disheartened,female
1974,female,female
1995,captive,female
1995,pretty,female
1995,biological,female
1995,young,female
1995,effervescent,female
1974,poor,female
1974,rich,female
1995,beautiful,female
1995,suraj,female
1995,innocent,female
1995,graceful,female
1975,aware,female
1975,beautiful,female
2012,anxious,female
2012,young,female
2012,alcoholic,female
1976,successful,female
1976,sister,female
1976,nautch,female
1976,real,female
1976,fellow,female
1976,reunited,female
1977,adopted,female
2011,meekest,female
2011,independent,female
2010,treasured,female
2010,clever,female
2010,sister,female
2010,invisible,female
2010,sister,female
2010,young,female
2010,white,female
1979,rich,female
2009,young,female
2009,beleaguered,female
2009,poor,female
2009,muslim,female
2009,free,female
2014,loud,female
1979,angry,female
2014,brothel,female
2014,young,female
2014,existing,female
1980,indian,female
2014,elusive,female
2014,ghetto,female
2014,disguised,female
2014,modern,female
2014,proud,female
1980,young,female
1980,bereaved,female
2014,moses,female
2014,sister,female
2014,typical,female
2014,delinquent,female
1981,kept,female
1981,young,female
2013,criminal,female
1981,real,female
1982,orphan,female
2013,pretty,female
2013,key,female
2013,ghostly,female
2013,possessed,female
2013,fiancee,female
2013,angry,female
2013,wailing,female
1982,beautiful,female
1983,innocent,female
1983,pregnant,female
1983,adopted,female
