movie name,character,mentions,total centrality,count,average centrality,gender
Anokha Rishta,alex,5.0,77.0,101.0,0.7623762376237624,female
Anokha Rishta,sister,2.0,194.1166666666668,68.0,2.854656862745099,female
Anubhav,gauri,0.0,803.2333333333333,189.0,4.249911816578483,female
Asli Naqli,laxmi,8.0,0.0,64.0,0.0,female
Asli Naqli,seth,4.0,0.0,24.0,0.0,female
Geet,janki,7.0,220.16666666666663,56.0,3.931547619047619,female
Geet,kamla,25.0,203.0,223.0,0.9103139013452914,female
Geet,sister,3.0,64.5,23.0,2.8043478260869565,female
Baat Ban Jaye,aman,1.0,65.0,27.0,2.4074074074074074,female
Baat Ban Jaye,nisha,1.0,133.0,15.0,8.866666666666667,female
Bhagwaan Dada,woman,2.0,305.4666666666666,41.0,7.450406504065039,female
Bhagwaan Dada,geeta,8.0,232.3333333333333,90.0,2.581481481481481,female
Bhagwaan Dada,mother,1.0,180.0,27.0,6.666666666666667,female
